,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
MRK,199.96B,10.53B,47.19B,2.44,3.06%,71000,7.30,19.34,12.62,2.92,1.12,4.13,6.33,1.44,58.90%,6.63%,-1.10%,39.30%,19.20%,14.70%,0.10%,-11.54%,76.20%
MET,35.52B,7.12B,68.36B,1.84,4.68%,49000,0.47,5.10,6.38,1.54,0.24,7.70,6.15,1.60,23.30%,3.31%,2.30%,10.20%,8.30%,-95.80%,0.10%,-0.40%,78.10%
MTD,24.42B,546.80M,2.94B,-,-,16200,54.78,46.19,39.28,4.44,2.67,22.29,26.22,5.95,12.20%,10.40%,14.50%,135.40%,32.80%,3.20%,0.40%,-51.52%,97.50%
MGM,10.44B,1.96B,9.04B,0.01,0.05%,52000,1.42,5.59,-,-,1.57,3.80,-1.06,-1.02,378.50%,-11.57%,71.20%,26.80%,17.40%,-,12.50%,-0.08%,67.70%
MCHP,28.11B,643.50M,5.26B,1.47,1.33%,18000,4.99,44.34,16.57,6.33,1.70,2.50,6.69,1.42,50.80%,7.00%,6.20%,11.70%,7.00%,140.10%,2.20%,-1.00%,-
MU,57.71B,2.69B,21.44B,-,-,37000,1.52,21.71,8.47,2.39,0.18,2.38,6.09,0.48,-51.50%,9.09%,16.80%,6.20%,15.00%,0.60%,0.10%,-5.28%,82.60%
MSFT,1662.31B,44.28B,143.02B,2.24,1.02%,163000,14.08,38.11,29.98,2.55,0.62,5.76,7.33,1.54,13.40%,14.97%,31.30%,39.50%,23.10%,-14.10%,0.10%,-3.72%,72.60%
MAA,14.01B,335.80M,1.66B,4.00,3.35%,2476,2.29,42.98,56.10,6.14,0.75,2.78,2.13,0.49,53.80%,7.00%,9.30%,5.60%,4.10%,21.20%,0.20%,-2.90%,93.70%
MHK,7.33B,482.40M,9.28B,-,-,41800,0.95,15.68,12.48,-,0.34,6.72,8.45,2.10,-13.10%,-10.23%,7.30%,6.10%,7.10%,-124.30%,20.03%,-0.14%,80.20%
TAP,7.62B,-161.10M,9.93B,-,-,17700,0.59,-,9.22,-,0.67,-0.75,3.84,1.01,-78.40%,-5.39%,-16.60%,-1.20%,2.40%,-40.80%,0.20%,0.70%,86.30%
